vol_requests,category_desc,subcategory,Latitude,Longitude
5,Strengthening Communities,Professional Skills,40.7258896,-73.9808446
5,Education,Youth Mentoring,40.7147989,-73.7936975
10,Helping Neighbors in Need,Senior & Patient Care,40.7454894,-73.9797093
40,Strengthening Communities,Youth Mentoring,40.7313422,-73.9887282
2,Strengthening Communities,General Support,40.6931304,-73.9643409
5,Helping Neighbors in Need,Event Support,40.7978043,-73.9675844
50,Environment,Environment,40.752685,-73.9734419
20,Strengthening Communities,General Support,40.709112,-74.006889
15,Strengthening Communities,General Support,40.667112,-73.885169
5,Strengthening Communities,General Support,40.728575,-73.998532
75,Health,Health,40.767711,-73.970516
6,Strengthening Communities,General Support,40.68581,-73.980385
99,Strengthening Communities,Event Support,40.720942,-73.997929
25,Environment,Environment,40.733935,-74.0049302
5,Helping Neighbors in Need,Helping Neighbors in Need,40.8030637,-73.952906
20,Strengthening Communities,General Support,40.713797,-74.005494
30,Education,Education,40.816693,-73.860904
30,Helping Neighbors in Need,Helping Neighbors in Need,40.7313422,-73.9887282
20,Education,Academic Tutoring,40.7920271,-73.9445046
10,Helping Neighbors in Need,Food Security,40.716696,-74.004163
20,Environment,Environment,40.7141085,-74.0083369
1,Strengthening Communities,Event Support,40.663701,-73.936049
99,Strengthening Communities,General Support,40.720942,-73.997929
12,Helping Neighbors in Need,Senior & Patient Care,40.771244,-73.953478
10,Health,Health,40.7484356,-73.9940338
99,Strengthening Communities,Professional Skills,40.720942,-73.997929
99,Strengthening Communities,General Support,40.720942,-73.997929
50,Strengthening Communities,Event Support,40.7250994,-73.9980977
200,Strengthening Communities,General Support,40.739861,-73.9851916
99,Strengthening Communities,Event Support,40.720942,-73.997929
5,Education,Academic Tutoring,40.6259594,-74.0291643
15,Health,Health,40.7484356,-73.9940338
10,Helping Neighbors in Need,Helping Neighbors in Need,40.853537,-73.908741
1,Health,Health,40.793292,-73.951826
250,Strengthening Communities,Manual Labor & Environment,40.6039381,-74.1473451
10,Strengthening Communities,Event Support,40.710954,-73.835147
22,Strengthening Communities,Manual Labor & Environment,40.710954,-73.835147
1000,Health,Health,40.7484356,-73.9940338
5,Helping Neighbors in Need,Youth Mentoring,40.739861,-73.9851916
